record_id,correlation_project_timestamp,Consent,Athlete,Int. student,academics,athletics,gpa,academics1,academics2,academics3,academics4,academics5,Academics avg 1,athletics1,athletics2,athletics3,athletics4,athletics5,athletics6,Athletics avg1,academics_1,academics_2,academics_3,academics_4,academics_5,academics_6,academics_7,academics_8,academics_9,academics_10,academics_11,academics_12,Academics avg2,athletics_1,athletics_2,athletics_3,athletics_4,athletics_5,athletics_6,athletics_7,athletics_8,athletics_9,athletics_10,athletics_11,athletics_12,athletics 2 avg,correlation_project_complete
1,[not completed],1,1,1,100,100,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,10/17/25 19:33,1,1,1,92,79,3.8,3,4,4,4,3,3.6,4,3,4,5,4,3,3.833333333,3,4,4,3,2,1,4,3,2,3,2,3,2.833333333,2,2,3,3,2,2,2,2,2,2,2,3,2.25,2
3,10/17/25 19:49,1,1,1,100,99,3.97,5,5,4,5,4,4.6,5,5,5,5,5,5,5,2,4,3,2,4,1,4,4,2,2,3,1,2.666666667,1,4,4,2,4,1,4,4,2,1,3,1,2.583333333,2
7,10/21/25 20:46,1,1,1,100,100,3,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
8,10/21/25 21:01,1,1,1,85,88,3.7,5,5,5,5,5,5,4,4,3,5,4,5,4.166666667,2,4,3,1,4,1,3,4,1,1,2,1,2.25,1,4,5,2,5,1,5,5,1,1,4,1,2.916666667,2
9,10/21/25 20:54,1,1,0,94,91,3,5,5,,,5,5,5,5,5,5,5,5,5,2,2,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2,,1,,2,2,2,2,1,1.8,2
10,10/21/25 21:00,1,1,1,84,89,3.7,4,4,4,4,3,3.8,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
11,10/21/25 21:01,1,1,1,100,100,3,3,3,3,4,2,3,5,5,5,5,5,5,5,2,2,2,2,4,2,4,3,3,2,4,4,2.833333333,3,2,4,2,4,2,2,2,2,2,1,1,2.25,2
12,10/21/25 21:02,1,1,1,82,100,3.7,3,4,3,5,3,3.6,4,5,5,5,4,4,4.5,3,2,2,3,2,3,4,1,2,3,3,3,2.583333333,1,4,5,3,4,1,2,4,1,1,2,2,2.5,2
13,[not completed],1,1,0,88,96,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,0
15,[not completed],1,1,1,79,100,3.4,3,4,3,4,3,3.4,5,5,5,4,4,5,4.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,10/21/25 21:10,1,1,0,100,100,3.8,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,2,3,3,3,3,3,1,3,3,2,2.583333333,1,2,4,1,4,1,4,4,1,1,4,1,2.333333333,2
18,10/21/25 21:12,1,1,1,99,100,3.89,4,5,3,4,3,3.8,5,5,5,5,4,4,4.666666667,2,3,4,2,4,1,4,4,1,2,3,2,2.666666667,1,4,5,2,3,1,5,5,1,1,5,2,2.916666667,2
19,10/21/25 21:14,1,1,1,62,100,2.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
20,10/21/25 21:19,1,1,0,98,100,3.45,4,4,3,4,1,3.2,5,5,5,5,5,5,5,2,3,4,4,3,2,4,3,2,2,2,2,2.75,1,2,1,4,2,1,2,5,1,1,1,1,1.833333333,2
21,10/21/25 21:19,1,1,1,100,100,3.6,4,5,4,4,2,3.8,5,5,5,5,5,5,5,3,4,5,4,4,1,5,3,1,2,5,3,3.333333333,1,3,3,3,5,1,5,4,1,1,5,3,2.916666667,2
23,[not completed],1,1,0,99,74,3.8,5,5,4,5,5,4.8,4,3,4,4,2,2,3.166666667,2,2,2,4,4,1,4,4,1,1,2,1,2.333333333,,,,,,,,,,,,,,0
24,10/21/25 22:00,1,1,1,99,99,3.2,5,4,4,5,5,4.6,4,4,5,5,4,5,4.5,1,2,1,2,1,2,1,2,1,2,1,1,1.416666667,1,2,1,2,1,2,1,1,1,1,1,1,1.25,2
25,10/21/25 22:12,1,1,1,100,100,3.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
27,10/21/25 23:22,1,1,1,2,100,3,1,1,4,2,1,1.8,5,5,5,5,5,5,5,3,3,2,2,2,4,2,4,2,3,3,4,2.833333333,1,2,4,5,2,1,5,4,2,2,2,2,2.666666667,2
28,10/21/25 23:21,1,1,1,74,100,3.5,4,4,4,4,4,4,5,5,5,5,5,5,5,2,2,3,2,4,3,4,2,2,4,3,3,2.833333333,1,4,4,1,4,1,3,5,2,1,2,1,2.416666667,2
29,10/22/25 8:47,1,1,0,61,100,3,5,5,5,5,5,5,5,5,4,4,4,3,4.166666667,2,2,2,2,2,2,3,3,2,3,3,3,2.416666667,2,2,3,3,3,1,4,4,2,2,4,2,2.666666667,2
30,[not completed],1,1,0,79,86,3.3,4,4,3,4,3,3.6,4,3,2,4,2,2,2.833333333,2,2,2,4,3,3,2,2,2,1,2,3,2.333333333,,,,,,,,,,,,,,0
31,10/22/25 8:50,1,1,0,77,77,3.4,3,4,3,4,3,3.4,4,4,3,4,4,3,3.666666667,3,3,4,2,4,3,3,4,2,3,3,3,3.083333333,2,3,3,2,2,3,,4,2,3,3,3,2.727272727,2
33,10/22/25 8:59,1,1,1,70,100,3.8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,4,2,3,2,3,3,2.916666667,3,2,4,2,2,4,2,4,2,3,2,4,2.833333333,2
34,[not completed],1,1,0,75,68,3.8,4,4,4,4,3,3.8,4,2,3,4,3,3,3.166666667,2,3,2,3,2,4,3,2,3,4,3,4,2.916666667,,,,,,,,,,,,,,0
35,10/22/25 9:18,1,1,0,74,67,3.8,4,4,4,4,3,3.8,4,3,4,4,3,3,3.5,3,2,2,2,2,4,2,2,4,3,2,4,2.666666667,2,3,2,3,2,4,3,3,3,3,2,4,2.833333333,2
37,10/22/25 10:11,1,1,1,41,85,3.1,3,3,2,5,1,2.8,5,5,5,5,5,4,4.833333333,3,1,3,3,1,5,2,1,5,5,2,3,2.833333333,3,4,4,4,4,1,4,4,2,2,2,3,3.083333333,2
38,10/22/25 9:58,1,1,0,100,100,3.5,1,1,2,1,2,1.4,1,1,1,1,1,2,1.166666667,1,4,3,2,4,2,5,4,2,1,2,1,2.583333333,1,1,3,4,3,1,5,4,1,1,2,1,2.25,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,80.46666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
